# Diabetic Retinopathy Dataset Manifest
# Generated: 25-Dec-2025 12:25:35
# Student: Karthikeya Vaitla (vaitlak@roehampton.ac.uk)
# Course: Applications of Data Science - University of Roehampton
# Format: filename,class,size_bytes
#
1.jpg,Healthy,647945
10.jpg,Healthy,700495
100.jpg,Healthy,384088
101.jpg,Healthy,399806
102.jpg,Healthy,351002
103.jpg,Healthy,333018
104.jpg,Healthy,325788
105.jpg,Healthy,347627
106.jpg,Healthy,357723
107.jpg,Healthy,346080
108.jpg,Healthy,331605
109.jpg,Healthy,337375
11.jpg,Healthy,516602
110.jpg,Healthy,361364
111.jpg,Healthy,335881
112.jpg,Healthy,387475
113.jpg,Healthy,388932
114.jpg,Healthy,394385
115.jpg,Healthy,389358
116.jpg,Healthy,386625
117.jpg,Healthy,373958
118.jpg,Healthy,351125
119.jpg,Healthy,367754
12.jpg,Healthy,512993
120.jpg,Healthy,344526
121.jpg,Healthy,352090
122.jpg,Healthy,349614
123.jpg,Healthy,390179
124.jpg,Healthy,356632
125.jpg,Healthy,365332
126.jpg,Healthy,372376
127.jpg,Healthy,339890
128.jpg,Healthy,355201
129.jpg,Healthy,348455
13.jpg,Healthy,766744
130.jpg,Healthy,342228
131.jpg,Healthy,359855
132.jpg,Healthy,326164
133.jpg,Healthy,325133
134.jpg,Healthy,328486
135.jpg,Healthy,331375
136.jpg,Healthy,325159
137.jpg,Healthy,320677
138.jpg,Healthy,312729
139.jpg,Healthy,317608
14.jpg,Healthy,735565
140.jpg,Healthy,392110
141.jpg,Healthy,364856
142.jpg,Healthy,365769
143.jpg,Healthy,366261
144.jpg,Healthy,370686
145.jpg,Healthy,373653
146.jpg,Healthy,362540
147.jpg,Healthy,381763
148.jpg,Healthy,349936
149.jpg,Healthy,327384
15.jpg,Healthy,654477
150.jpg,Healthy,333186
151.jpg,Healthy,367504
152.jpg,Healthy,325814
153.jpg,Healthy,329508
154.jpg,Healthy,358176
155.jpg,Healthy,356902
156.jpg,Healthy,350404
157.jpg,Healthy,342483
158.jpg,Healthy,334233
159.jpg,Healthy,319700
16.jpg,Healthy,860259
160.jpg,Healthy,373337
161.jpg,Healthy,383202
162.jpg,Healthy,572743
163.jpg,Healthy,881216
164.jpg,Healthy,373641
165.jpg,Healthy,331634
166.jpg,Healthy,332506
167.jpg,Healthy,335729
168.jpg,Healthy,339779
169.jpg,Healthy,333491
17.jpg,Healthy,809982
170.jpg,Healthy,343496
171.jpg,Healthy,362560
172.jpg,Healthy,378812
173.jpg,Healthy,373979
174.jpg,Healthy,338318
175.jpg,Healthy,328802
176.jpg,Healthy,331090
177.jpg,Healthy,344198
178.jpg,Healthy,354978
179.jpg,Healthy,347609
18.jpg,Healthy,440706
180.jpg,Healthy,369846
181.jpg,Healthy,357856
182.jpg,Healthy,365529
183.jpg,Healthy,387698
184.jpg,Healthy,388741
185.jpg,Healthy,389871
186.jpg,Healthy,398104
187.jpg,Healthy,391713
19.jpg,Healthy,440706
2.jpg,Healthy,831044
20.jpg,Healthy,440706
21.jpg,Healthy,576029
22.jpg,Healthy,688980
23.jpg,Healthy,741039
24.jpg,Healthy,575842
